,ALLEN,MOBLEY,MITCHELL,OSMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.0,1.5,N/A,N/A,N/A,2.0,1.57,1.33,0.75,N/A,N/A,3.0,1.44
% of Poss.,14.3%,7.1%,0.0%,0.0%,0.0%,19.0%,31.0%,11.9%,11.9%,0.0%,0.0%,4.8%,42
Total FG%,66.7%,100.0%,N/A,N/A,N/A,100.0%,71.4%,100.0%,25.0%,N/A,N/A,100.0%,72.7%
Shooting PPP,N/A,N/A,N/A,N/A,N/A,2.0,2.0,2.0,0.75,N/A,N/A,N/A,1.38
% of Shooting Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,15.4%,30.8%,15.4%,38.5%,0.0%,0.0%,0.0%,31.0% | 8
Shooting FG%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%,25.0%,N/A,N/A,N/A,62.5%
Shooting 2pt Att.,0,0,0,0,0,1,2,1,0,0,0,0,4
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%,N/A,N/A,N/A,N/A,100.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,4,0,0,0,4
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.0%,N/A,N/A,N/A,25.0%
Passing PPP,1.0,1.5,N/A,N/A,N/A,2.0,1.4,1.0,N/A,N/A,N/A,3.0,1.47
% of Passing Poss.,20.7%,10.3%,0.0%,0.0%,0.0%,20.7%,31.0%,10.3%,0.0%,0.0%,0.0%,6.9%,69.0% | 14
Passing FG%,66.7%,100.0%,N/A,N/A,N/A,100.0%,60.0%,100.0%,N/A,N/A,N/A,100.0%,78.6%
Passing 2pt Att.,3,0,0,0,0,3,3,1,0,0,0,0,10
Passing 2pt FG%,66.7%,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%,N/A,N/A,N/A,N/A,90.0%
Passing 3pt Att.,0,1,0,0,0,0,2,0,0,0,0,1,4
Passing 3pt FG%,N/A,100.0%,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,100.0%,50.0%
