Shot Type,ROB,HORFORD,GRANT,SMART,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,2,7,3,0,5,54,23,28,0,3,1,0
shoot2FGM,0,5,3,0,3,31,19,19,0,1,1,0
shoot2FTA,0,2,0,0,4,16,14,13,0,0,0,0
shoot2FTM,0,1,0,0,3,16,11,9,0,0,0,0
shoot2TO,0,4,0,0,2,7,7,3,0,0,0,0
shoot3FGA,0,1,1,0,1,4,3,0,45,6,0,0
shoot3FGM,0,1,0,0,0,5,1,0,11,3,0,0
shoot3FTA,0,3,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,3,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,2,0,0,0,0,0,0
pass2FGA,0,1,0,0,0,5,4,0,0,0,0,0
pass2FGM,0,0,0,0,0,2,3,0,0,0,0,0
pass2FTA,0,0,0,0,0,2,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,1,0,0,0,0,0,0
pass2TO,0,1,0,0,0,0,0,0,0,0,1,0
pass3FGA,1,3,2,0,1,7,2,3,0,0,0,0
pass3FGM,0,1,1,0,1,4,2,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,1,0,0,0,0,0,0
