Shot Type,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
S_2FGA,3,0,0,0,0,2,1,0,0,0,0,0
S_2FGM,3,0,0,0,0,1,1,0,0,0,0,0
S_2FTA,0,0,0,0,0,0,0,0,0,0,0,2
S_2FTM,0,0,0,0,0,0,0,0,0,0,0,2
S_2TO,0,0,0,0,0,2,0,0,0,0,0,0
S_3FGA,0,0,0,0,0,0,0,0,1,0,0,0
S_3FGM,0,0,0,0,0,0,0,0,0,0,0,0
S_3FTA,0,0,0,0,0,0,0,0,0,0,0,0
S_3FTM,0,0,0,0,0,0,0,0,0,0,0,0
S_3TO,0,0,1,0,0,0,0,0,0,0,0,0
P_2FGA,0,0,0,0,0,4,4,1,0,0,0,1
P_2FGM,0,0,0,0,0,3,3,0,0,0,0,0
P_2FTA,0,0,0,0,0,2,0,0,0,0,0,0
P_2FTM,0,0,0,0,0,2,0,0,0,0,0,0
P_2TO,1,0,0,0,0,0,0,0,0,0,0,0
P-3FGA,0,0,1,0,0,5,2,0,0,0,0,0
P_3FGM,0,0,0,0,0,3,1,0,0,0,0,0
P_3FTA,0,0,0,0,0,0,0,0,0,0,0,0
P_3FTM,0,0,0,0,0,0,0,0,0,0,0,0
P_3TO,0,0,0,0,0,0,0,0,0,0,0,0
