,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.4,2.5,N/A,N/A,1.5,1.32,1.85,0.0,3.0,N/A,0.0,1.7,1.67,1.42
% of Poss.,11.1%,5.6%,0.0%,0.0%,5.6%,36.1%,15.3%,4.2%,2.8%,0.0%,1.4%,18.1%,22.2%,72
Total FG%,75.0%,100.0%,N/A,N/A,50.0%,58.3%,66.7%,0.0%,100.0%,N/A,0.0%,100.0%,75.0%,66.7%
Shooting PPP,1.33,N/A,N/A,N/A,0.0,1.02,2.13,0.0,3.0,N/A,0.0,1.64,1.0,1.22
% of Shooting Poss.,13.5%,0.0%,0.0%,0.0%,2.7%,24.3%,16.2%,5.4%,5.4%,0.0%,2.7%,29.7%,37.5% | 4,51.4% | 13
Shooting FG%,66.7%,N/A,N/A,N/A,0.0%,33.3%,100.0%,N/A,100.0%,N/A,0.0%,100.0%,50.0%,61.5%
Shooting 2pt Att.,3,0,0,0,1,2,1,0,0,0,1,3,4,11
Shooting 2pt FG%,66.7%,N/A,N/A,N/A,0.0%,0.0%,100.0%,N/A,N/A,N/A,0.0%,100.0%,50.0%,54.5%
Shooting 3pt Att.,0,0,0,0,0,1,0,0,1,0,0,0,0,2
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,100.0%,N/A,N/A,N/A,nan%,100.0%
Passing PPP,1.5,2.5,N/A,N/A,3.0,1.45,1.64,0.0,N/A,N/A,N/A,2.0,2.2,1.61
% of Passing Poss.,8.6%,11.4%,0.0%,0.0%,8.6%,48.6%,14.3%,2.9%,0.0%,0.0%,0.0%,5.7%,62.5% | 4,48.6% | 17
Passing FG%,100.0%,100.0%,N/A,N/A,100.0%,66.7%,50.0%,0.0%,N/A,N/A,N/A,100.0%,100.0%,70.6%
Passing 2pt Att.,0,1,0,0,1,2,0,1,0,0,0,1,2,6
Passing 2pt FG%,N/A,100.0%,N/A,N/A,100.0%,100.0%,N/A,0.0%,N/A,N/A,N/A,100.0%,100.0%,83.3%
Passing 3pt Att.,1,1,0,0,0,7,2,0,0,0,0,0,2,11
Passing 3pt FG%,100.0%,100.0%,N/A,N/A,N/A,57.1%,50.0%,N/A,N/A,N/A,N/A,N/A,100.0%,63.6%
